Trial;Fold;Accuracy
1;1;90.0
1;2;85.0
1;3;70.0
1;4;80.0
1;5;70.0
1;6;80.0
1;7;75.0
1;8;90.0
1;9;95.0
1;10;85.0
2;1;75.0
2;2;85.0
2;3;85.0
2;4;80.0
2;5;75.0
2;6;80.0
2;7;80.0
2;8;80.0
2;9;75.0
2;10;85.0
3;1;85.0
3;2;70.0
3;3;80.0
3;4;70.0
3;5;80.0
3;6;90.0
3;7;80.0
3;8;70.0
3;9;90.0
3;10;80.0
4;1;65.0
4;2;90.0
4;3;90.0
4;4;75.0
4;5;80.0
4;6;85.0
4;7;70.0
4;8;75.0
4;9;80.0
4;10;75.0
5;1;80.0
5;2;60.0
5;3;70.0
5;4;75.0
5;5;95.0
5;6;85.0
5;7;65.0
5;8;90.0
5;9;80.0
5;10;85.0
6;1;80.0
6;2;95.0
6;3;80.0
6;4;85.0
6;5;80.0
6;6;75.0
6;7;70.0
6;8;90.0
6;9;95.0
6;10;70.0
7;1;85.0
7;2;85.0
7;3;75.0
7;4;75.0
7;5;85.0
7;6;75.0
7;7;80.0
7;8;70.0
7;9;85.0
7;10;70.0
8;1;85.0
8;2;75.0
8;3;90.0
8;4;85.0
8;5;70.0
8;6;75.0
8;7;75.0
8;8;85.0
8;9;70.0
8;10;95.0
9;1;70.0
9;2;80.0
9;3;65.0
9;4;85.0
9;5;85.0
9;6;75.0
9;7;70.0
9;8;85.0
9;9;80.0
9;10;70.0
10;1;80.0
10;2;65.0
10;3;80.0
10;4;90.0
10;5;75.0
10;6;70.0
10;7;75.0
10;8;90.0
10;9;80.0
10;10;85.0
